,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,NAICS_CODE,NAICS_DESC,LEVEL,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,YEAR
3485,A0503437,MONTESSORI CHILDREN'S HOUSE,1900 HEDGCOXE RD,PLANO,TX,75025,2,1,12,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,6,2,3,6,2014
3501,A1171647,ABACUS SCHOOL OF AUSTIN,14115 AVERY RANCH BLVD,AUSTIN,TX,78717,6,1,18,WILLIAMSON,48491,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,16,2,3,2,2018
3538,A1503782,SOLID ROCK CHRISTIAN ACADEMY,155 IH10 N STE 2,BEAUMONT,TX,77707,6,1,51,JEFFERSON,48245,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,48,2,17,3,2018
3572,BB130488,THE NOVUS ACADEMY,204 N DOOLEY ST,GRAPEVINE,TX,76051,4,1,76,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,66,6,17,10,2018
3573,A1303473,SIENNA LUTHERAN ACADEMY,770 WATERS LAKE BLVD,MISSOURI CITY,TX,77459,1,1,91,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,84,3,13,7,2018
3574,A1503833,TORAH ACADEMY OF SAN ANTONIO,3003 SHOLOM DR # 200,SAN ANTONIO,TX,78230,1,1,61,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,52,3,13,9,2018
3654,01327262,ST PHILIPS EPISCOPAL SCHOOL,105 N ADAMS,BEEVILLE,TX,78102,1,1,84,BEE,48025,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,72,2,11,12,2009
3655,A9300914,VILLAGE PARKWAY CHRISTIAN SCHOOL,3002 VILLAGE PKWY,SAN ANTONIO,TX,78251,1,1,64,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,54,2,10,10,2010
3656,A0702280,ST TIMOTHY CHRISTIAN ACADEMY,6801 W PARK BLVD,PLANO,TX,75093,4,1,40,DENTON,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,30,6,17,10,2010
3657,A9300984,BETHANY CHRISTIAN SCHOOL,3300 W PARKER RD,PLANO,TX,75075,1,1,103,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,92,2,17,11,2009
3658,A0740134,FORT BEND CHRISTIAN ACADEMY HIGH SCHOOL,1250 SEVENTH ST,SUGAR LAND,TX,77478,1,1,803,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,736,2,17,67,2010
3659,01324137,ST MARYS CATHOLIC SCHOOL,713 S TRAVIS ST,SHERMAN,TX,75090,1,1,150,GRAYSON,48181,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,138,2,13,12,2009
3660,01326677,PILGRIM LUTHERAN SCHOOL,8601 CHIMNEY ROCK RD,HOUSTON,TX,77096,1,1,70,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,58,2,13,12,2010
3661,BB912535,RIVER OAKS ACADEMY,10600 RICHMOND AVE,HOUSTON,TX,77042,4,1,41,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,34,6,17,7,2010
3673,A9106526,THE PARISH SCHOOL,11001 HAMMERLY BLVD,HOUSTON,TX,77043,4,1,134,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,121,1,1,13,2009
