,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,NAICS_CODE,NAICS_DESC,LEVEL,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,YEAR
5973,A1171677,CREATIVE CORNER,335 AUDREY LN,HOUSTON,TX,77015,7,1,19,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,18,2,3,1,2018
5974,A1392039,DARUL ARQAM SOUTHWEST SCHOOL,10415 SYNOTT RD,SUGAR LAND,TX,77498,1,1,92,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,68,2,13,24,2018
5975,A1390331,EA YOUNG ACADEMY,8521 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76182,3,1,88,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,74,3,17,14,2018
5976,A1503802,ITEC PREPARATORY ACADEMY,"5450 HURD PLACE, STE A",EL PASO,TX,79912,1,1,96,EL PASO,48141,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,84,14,17,12,2018
6047,A0109439,EXCELLENT COVENANT CHRISTIAN ACADEMY,3621 E VETERANS MEMORIAL BLVD,KILLEEN,TX,76543,1,1,20,BELL,48027,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,14,2,9,6,2010
6048,01322402,OUR LADY OF PERPETUAL HELP SCHOOL,16075 N EVANS RD,SELMA,TX,78154,1,1,407,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,381,3,13,26,2010
6049,K9306053,ST DAVIDS EPISCOPAL SCHOOL,1300 WILTSHIRE AVE,SAN ANTONIO,TX,78209,7,1,8,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,7,2,3,1,2010
6050,A9703351,VICTORY LIFE ACADEMY,901 CC WOODSON RD,BROWNWOOD,TX,76801,1,1,63,BROWN,48049,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,53,2,17,10,2010
6051,A0771855,SPANISH SCHOOLHOUSE,6065 ESTHER WAY,FRISCO,TX,75034,3,1,14,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,12,2,3,2,2010
6052,A9504042,THE HILLIER SCHOOL,3821 UNIVERSITY BLVD,DALLAS,TX,75205,4,1,65,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,53,7,13,12,2010
6053,A9703387,SANTA CLARA OF ASSISI SCHOOL,321 CALUMET AVE STE B,DALLAS,TX,75211,3,1,210,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,189,2,13,21,2010
6054,01327546,EL PASO JEWISH ACADEMY,805 CHERRY HILL LN FRNT,EL PASO,TX,79912,3,1,26,EL PASO,48141,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,19,2,13,7,2010
6055,02060727,THE WALDEN SCHOOL,16103 LEXINGTON BLVD A,SUGAR LAND,TX,77479,7,1,9,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,8,2,3,1,2010
6056,A9504067,LIFEGATE CHRISTIAN SCHOOL,395 LIFEGATE LN,SEGUIN,TX,78155,1,1,159,GUADALUPE,48187,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,142,3,17,17,2010
6057,BB942811,TRAFTON ACADEMY,4711 MCDERMED DR,HOUSTON,TX,77035,1,1,308,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,279,2,13,29,2010
6058,01329281,TORAH DAY SCHOOL,10900 FONDREN RD,HOUSTON,TX,77096,1,1,126,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,109,2,13,17,2009
6066,BB942710,PINES PRESBYTERIAN PRESCHOOL,12751 KIMBERLEY LN,HOUSTON,TX,77024,6,1,32,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,19,2,4,13,2010
6067,A9707920,CALVARY BAPTIST WEEKDAY MINISTRIES,5301 82ND ST,LUBBOCK,TX,79424,6,1,26,LUBBOCK,48303,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,24,2,3,2,2010
6068,A9707953,WOODWAY CHRISTIAN SCHOOL,13000 WOODWAY DR,WOODWAY,TX,76712,1,1,156,MCLENNAN,48309,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,137,2,13,19,2010
6069,A0771859,STEPPING STONES PREPRETRY ACADENY,11900 CRANE BROOK DR,THE WOODLANDS,TX,77382,7,1,12,MONTGOMERY,48339,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,11,2,6,1,2010
6070,A0109503,NACOGDOCHES CHRISTIAN ACADEMY,211 SE STALLINGS DR,NACOGDOCHES,TX,75964,6,1,6,NACOGDOCHES,48347,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,5,2,3,1,2010
6071,A9300972,CORNERSTONE CHRISTIAN SCHOOL,1502 N JEFFERSON ST,SAN ANGELO,TX,76901,1,1,151,TOM GREEN,48451,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,132,2,17,19,2010
6072,A9503951,CASA MONTESSORI CHILD DEVELOPMENT CENTER,404 B ATLANTA ST,AUSTIN,TX,78703,2,1,18,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,15,2,3,3,2010
6073,K9306096,ST MATTHEW'S EPISCOPAL SCHOOL,8134 MESA DR,AUSTIN,TX,78759,6,1,20,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,18,2,2,2,2010
6074,01323315,ST IGNATIUS MARTYR CATHOLIC SCHOOL,120 W OLTORF ST,AUSTIN,TX,78704,1,1,220,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,198,2,13,22,2010
6075,01328335,ST JAMES EPISCOPAL SCHOOL,206 W GREENWOOD ST,DEL RIO,TX,78840,1,1,75,VAL VERDE,48465,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,68,2,10,7,2010
6090,BB130499,MACEDONIAN CHRISTIAN ACADEMY,401 N VAL VERDE RD,ALAMO,TX,78516,1,1,87,HIDALGO,48215,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,78,2,11,9,2018
6092,A1303474,SNYDER CHRISTIAN SCHOOL,2700 COLLEGE AVE,SNYDER,TX,79549,1,1,34,SCURRY,48415,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,27,2,12,7,2018
6322,BB182556,SEMINOLE MENNONITE SCHOOL,1500 SE 5TH ST,SEMINOLE,TX,79360,1,1,289,GAINES,48165,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,267,3,17,22,2019
6323,BB182676,PARISH EPISCOPAL SCHOOL,14115 HILLCREST RD,DALLAS,TX,75254,1,1,1203,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,1078,2,17,125,2019
6324,A1790479,BETHESDA CHRISTIAN ACADEMY,11840 GTWY BLVD E,EL PASO,TX,79927,1,1,39,EL PASO,48141,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,31,7,17,8,2019
6325,A1703488,KIDS R KIDS OF ROUND ROCK,1455 RED BUD LN,ROUND ROCK,TX,78664,6,1,16,WILLIAMSON,48491,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,15,2,3,1,2019
6326,A1703505,LIVING WORD ACADEMY,918 2ND ST,MARBLE FALLS,TX,78654,1,1,10,BURNET,48053,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,8,10,17,2,2019
6423,01322934,ST LUKE CATHOLIC SCHOOL,4603 MANITOU,SAN ANTONIO,TX,78228,1,1,482,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,456,2,13,26,2010
6424,BB981491,MONTESSORI SCHOOL OF DOWNTOWN,2121 N GRAND BLVD,PEARLAND,TX,77581,2,1,13,BRAZORIA,48039,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,12,2,7,1,2010
6425,A9504140,PRESTON MEADOWS MONTESSORI,6912 OHIO DR,PLANO,TX,75024,2,1,6,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,5,2,3,1,2009
6426,X9106532,TRINITY CHRISTIAN SCHOOL,1231 E PLEASANT RUN RD,CEDAR HILL,TX,75104,1,1,543,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,493,2,17,50,2010
6427,01615476,BALCH SPRINGS CHRISTIAN ACADEMY,11524 SEAGOVILLE RD,BALCH SPRINGS,TX,75180,1,1,102,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,90,3,17,12,2010
6428,A9304083,ST JOSEPH CATHOLIC SCHOOL,506 E MARVIN AVE,WAXAHACHIE,TX,75165,1,1,138,ELLIS,48139,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,129,2,13,9,2009
6429,A9708017,RAINBOW SCHOOL,11860 ROJAS DR,EL PASO,TX,79936,6,1,7,EL PASO,48141,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,6,2,3,1,2010
6430,01322796,ST ROSE OF LIMA CATHOLIC SCHOOL,405 BLACK ST,SCHULENBURG,TX,78956,1,1,150,FAYETTE,48149,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,136,2,13,14,2010
6431,01328619,BAY AREA CHRISTIAN SCHOOL,4800 W MAIN ST,LEAGUE CITY,TX,77573,1,1,826,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,769,3,17,57,2010
6432,01322785,ST JAMES CATHOLIC SCHOOL,507 S CAMP ST,SEGUIN,TX,78155,1,1,144,GUADALUPE,48187,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,130,2,13,14,2009
6444,BB943127,THE FAY SCHOOL,105 N POST OAK LN,HOUSTON,TX,77024,1,1,270,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,240,2,10,30,2009
6445,BB912489,AMBASSADOR CHRISTIAN DAYCARE & SCHOOL,10100 KLECKLEY DR,HOUSTON,TX,77075,1,1,9,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,8,2,8,1,2010
6446,A9904199,DALHART CHRISTIAN ACADEMY,1000 E 16TH ST,DALHART,TX,79022,1,1,86,HARTLEY,48205,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,76,2,12,10,2010
6447,A9707945,FIRST BAPTIST CHURCH DAY SCHOOL,314 N MAIN ST,JASPER,TX,75951,1,1,35,JASPER,48241,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,32,2,7,3,2010
6448,01325786,ST ANN S SCHOOL,2000 W TEXAS AVE,MIDLAND,TX,79701,1,1,432,MIDLAND,48329,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,403,2,13,29,2010
6449,A9707976,HILLCREST SCHOOL,2800 N A ST,MIDLAND,TX,79705,4,1,97,MIDLAND,48329,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,95,3,17,2,2010
6450,01324931,ST GEORGE CATHOLIC SCHOOL,824 HUDGINS AVE,FORT WORTH,TX,76111,1,1,100,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,87,2,13,13,2009
6451,A9503997,EKKLESIA CHRISTIAN SCHOOL,1200 BESSIE ST,FORT WORTH,TX,76104,1,1,16,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,13,2,10,3,2009
6452,01323304,CATHEDRAL SCHOOL OF ST MARY,910 SAN JACINTO BLVD,AUSTIN,TX,78701,1,1,183,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,169,2,13,14,2010
6453,X1328754,BRENTWOOD CHRISTIAN SCHOOL,11908 N LAMAR BLVD,AUSTIN,TX,78753,1,1,688,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,636,2,17,52,2010
6480,A0903582,PRIMROSE SCHOOL OF NE FLOWER MOUND,3939 MORRISS RD,FLOWER MOUND,TX,75028,7,1,10,DENTON,48121,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,9,2,3,1,2012
6484,BB943358,THE ARBOR SCHOOL,1635 BLALOCK RD,HOUSTON,TX,77080,4,1,56,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,36,1,1,20,2012
6502,A0990126,THE MAGELLAN INTERNATIONAL SCHOOL,7938 GREAT NORTHERN BLVD,AUSTIN,TX,78757,3,1,423,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,382,2,13,41,2012
6504,A9300859,CORNERSTONE CHRISTIAN SCHOOL,718 BARROW ST,ABILENE,TX,79605,1,1,32,TAYLOR,48441,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,27,2,11,5,2012
6512,A0903564,PRIMROSE SCHOOL OF BARKER CYPRESS,16555 DUNDEE RD,CYPRESS,TX,77429,6,1,11,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,10,2,4,1,2012
6565,A1171665,CANYON CREEK DAY SCHOOL,6308 STONEWOOD DR,PLANO,TX,75024,7,1,39,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,35,2,3,4,2014
6566,A1171766,WARREN MONTESSORI,10247 WARREN PKWY,FRISCO,TX,75035,2,1,22,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,17,2,8,5,2014
6586,A1592198,WESLEY PREP,9200 INWOOD RD,DALLAS,TX,75220,4,1,222,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,196,2,11,26,2018
6655,BB162795,CHRISTIAN CHILD DEVELOPMENT CENTER,907 W MAIN ST,LEWISVILLE,TX,75067,6,1,21,DENTON,48121,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,18,2,4,3,2018
6658,A1503771,REGENTS ACADEMY,200 NE STALLINGS DR,NACOGDOCHES,TX,75961,1,1,177,NACOGDOCHES,48347,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,157,2,17,20,2018
7045,A0771828,PRIMROSE SCHOOL AT SUMMERWOOD,14002 W LAKE HOUSTON PKWY,HOUSTON,TX,77044,7,1,15,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,14,2,3,1,2010
7137,BB170367,GARDNER PREPARATORY SCHOOL,100 N HOUSTON SCHOOL RD,LANCASTER,TX,75146,1,1,18,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,15,2,8,3,2019
7569,A0109444,PIPE CREEK CHRISTIAN SCHOOL,1990 FM 1283,PIPE CREEK,TX,78063,1,1,72,BANDERA,48019,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,56,2,15,16,2010
7570,A9904296,TRINITY UNITED METHODIST SCHOOL,5319 NEWCOME DR,SAN ANTONIO,TX,78229,1,1,63,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,53,2,10,10,2010
7571,01327193,MARINE MILITARY ACADEMY,320 IWO JIMA BLVD,HARLINGEN,TX,78550,1,1,244,CAMERON,48061,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,220,13,17,24,2009
7572,01326327,KENMONT MONTESSORI SCHOOL,2734 N CORIA ST,BROWNSVILLE,TX,78520,2,1,281,CAMERON,48061,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,256,2,13,25,2009
7574,01328018,HIGHLAND PARK PRESBYTERIAN DAY SCHOOL,3821 UNIVERSITY BLVD,DALLAS,TX,75205,7,1,21,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,18,2,3,3,2010
7575,01634976,DALLAS ACADEMY,950 TIFFANY WAY,DALLAS,TX,75218,4,1,219,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,190,6,17,29,2010
7576,A9708044,WESTMINSTER PRESBYTERIAN PRESCHOOL & KINDERGARTEN,8200 DEVONSHIRE DR,DALLAS,TX,75209,6,1,18,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,16,2,3,2,2010
7577,BB021866,FORT BEND MONTESSORI SCHOOL,12500 W BELLFORT AVE,HOUSTON,TX,77099,2,1,16,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,12,2,6,4,2010
7578,01325039,OUR LADY OF FATIMA CATHOLIC SCHOOL,1600 9TH AVE N,TEXAS CITY,TX,77590,1,1,65,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,54,2,13,11,2009
7579,02060884,GRAYSON CHRISTIAN SCHOOL,4400 US HIGHWAY 82 E,SHERMAN,TX,75090,1,1,138,GRAYSON,48181,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,120,2,17,18,2010
7580,A9300985,TEXOMA CHRISTIAN SCHOOL,3500 W HOUSTON ST,SHERMAN,TX,75092,1,1,328,GRAYSON,48181,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,295,2,17,33,2010
7581,BB021868,ST MARY MAGDALENE SCHOOL,530 FERGUSON ST,HUMBLE,TX,77338,1,1,265,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,243,2,13,22,2010
7582,BB041564,EARLY DISCOVERY MONTESSORI SCHOOL,15985 WESTHEIMER RD,HOUSTON,TX,77082,2,1,7,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,5,2,6,2,2010
7583,BB943636,CRANBROOK LEARNING CONNECTION,13331 KUYKENDAHL RD # 101,HOUSTON,TX,77090,7,1,13,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,11,2,3,2,2010
7584,01326043,ASCENSION EPISCOPAL SCHOOL,2525 SEAGLER,HOUSTON,TX,77042,1,1,59,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,49,2,10,10,2009
7585,02061083,THE POST OAK SCHOOL,4600 BISSONNET ST,BELLAIRE,TX,77401,2,1,370,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,366,2,17,4,2009
7586,BB943098,ST LUKE'S DAY SCHOOL,3471 WESTHEIMER RD,HOUSTON,TX,77027,7,1,16,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,14,2,3,2,2009
7600,A0303111,OUR REDEEMER LUTHERAN NORTH SCHOOL,215 RITTENHOUSE ST,HOUSTON,TX,77076,3,1,8,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,6,12,17,2,2009
7601,A0503495,TRINITY CHRISTIAN ACADEMY,2190 FM 79,PARIS,TX,75460,1,1,112,LAMAR,48277,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,99,3,17,13,2010
7602,01326484,ST PAUL LUTHERAN SERBIN SCHOOL,1578 COUNTY ROAD 211,GIDDINGS,TX,78942,1,1,78,LEE,48287,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,71,3,13,7,2010
7603,01327615,IMMANUEL LUTHERAN SCHOOL,382 N GRIMES ST,GIDDINGS,TX,78942,1,1,172,LEE,48287,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,158,2,13,14,2010
7604,01323009,ST MARYS CATHEDRAL SCHOOL,1200 S WASHINGTON ST,AMARILLO,TX,79102,1,1,163,POTTER,48375,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,144,2,10,19,2010
7605,A0109375,GRAPEVINE FAITH CHRISTIAN SCHOOL,730 E WORTH ST,GRAPEVINE,TX,76051,1,1,823,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,756,2,17,67,2010
7606,A9503925,WAYPOINT MONTESSORI,1513 HALL-JOHNSON RD,COLLEYVILLE,TX,76034,2,1,88,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,74,2,11,14,2009
7607,A0109492,TRINITY VALLEY SCHOOL,7500 DUTCH BRANCH RD,FORT WORTH,TX,76132,1,1,1073,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,980,3,17,93,2009
7608,A9904286,ST GABRIEL'S CATHOLIC SCHOOL,2500 WIMBERLY LN,AUSTIN,TX,78735,1,1,424,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,385,2,13,39,2010
7609,01322639,ST JOSEPH HIGH SCHOOL,110 E RED RIVER ST,VICTORIA,TX,77901,1,1,322,VICTORIA,48469,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,302,14,17,20,2009
7610,01326826,ZION LUTHERAN SCHOOL,6101 FM 1105,GEORGETOWN,TX,78626,1,1,163,WILLIAMSON,48491,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,148,2,13,15,2010
7611,A9703355,LUTHERAN HIGH SCHOOL OF SAN ANTONIO,18104 BABCOCK RD,SAN ANTONIO,TX,78255,1,1,180,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,163,14,17,17,2010
7650,A0903534,ST JOHN PAUL II HIGH SCHOOL,3036 SARATOGA BLVD,CORPUS CHRISTI,TX,78415,1,1,318,NUECES,48355,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,293,14,17,25,2012
7655,A0903608,SPRING BAPTIST ACADEMY,633 E LOUETTA RD,SPRING,TX,77373,1,1,156,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,135,2,13,21,2012
7658,A0303096,KINGDOM PREPARATORY ACADEMY,6110 CHICAGO AVE,LUBBOCK,TX,79424,1,1,232,LUBBOCK,48303,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,190,2,17,42,2012
7670,BB101432,NEW BEGINNERS PREPARATORY,7441 MARVIN D. LOVE FRWY STE 300,DALLAS,TX,75237,1,1,203,DALLAS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,200,14,17,3,2012
7692,A0771767,GLEN OAKS SCHOOL,12105 PLANO RD,DALLAS,TX,75243,6,1,8,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,7,3,3,1,2014
7693,A1171713,KING ARTHUR MONTESSORI ACADEMY,4537 N JOSEY LN,CARROLLTON,TX,75010,2,1,66,DENTON,48121,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,40,2,6,26,2014
7694,A0903597,PRIMROSE SCHOOL OF WEST CARROLLTON,4028 NAZARENE DR,CARROLLTON,TX,75010,6,1,7,DENTON,48121,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,6,2,4,1,2014
7695,A0903637,WHISPERING FARMS MONTESSORI ACADEMY,2460 E PROSPER TRL,PROSPER,TX,75078,2,1,3,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,1,2,4,2,2014
7755,A1303426,LOGOS PREPARATORY SCHOOL,13303 SW FWY,SUGAR LAND,TX,77478,3,1,525,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,507,3,17,18,2018
7797,BB130482,CROSSROADS CHRISTIAN ACADEMY,3512 ROBERTS CUT OFF RD,FORT WORTH,TX,76114,1,1,62,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,60,13,17,2,2018
7819,BB964683,ST PETERS EARLY CHILDHOOD DEVELOPMENT CENTER,20775 KINGSLAND BLVD,KATY,TX,77450,6,1,26,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,21,2,4,5,2010
7895,BB162736,AMAZING KIDZ CHRISTIAN ACADEMY,12035 DE FORREST ST,HOUSTON,TX,77066,1,1,8,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,6,2,6,2,2019
7896,A1703573,ST JOSEPH CATHOLIC SCHOOL - ELEMENTARY CAMPUS,901 E WM J BRYAN PKWY,BRYAN,TX,77803,1,1,359,BRAZOS,48041,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,327,2,17,32,2019
8171,A0503481,ST JOSEPH CATHOLIC SCHOOL,600 S JUPITER RD,RICHARDSON,TX,75081,1,1,299,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,275,3,13,24,2010
8172,01329066,CALVARY LUTHERAN SCHOOL,9807 CHURCH RD,DALLAS,TX,75238,1,1,85,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,78,2,13,7,2010
8173,A0303040,CAMBRIDGE MONTESSORI SCHOOL,6380 HWY 90A,SUGAR LAND,TX,77498,2,1,23,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,19,2,3,4,2010
8174,A0509168,VERITAS CHRISTIAN ACADEMY,7000 FERRIS ST,BELLAIRE,TX,77401,1,1,198,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,175,2,13,23,2010
8175,BB912593,BAY AREA MONTESSORI HOUSE,17222 MERCURY DR,HOUSTON,TX,77058,2,1,55,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,52,2,13,3,2010
8176,BB943496,THE IMANI SCHOOL,12401 S POST OAK RD STE A,HOUSTON,TX,77045,1,1,220,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,200,2,13,20,2009
8192,BB021891,FIRST BAPTIST CHRISTIAN ACADEMY,7500 FAIRMONT PKWY,PASADENA,TX,77505,1,1,550,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,510,2,17,40,2010
8193,A9904172,ALICE CHRISTIAN SCHOOL,1200 N STADIUM RD,ALICE,TX,78332,1,1,37,JIM WELLS,48249,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,32,3,17,5,2009
8194,A0109510,EAGLE CHRISTIAN ACADEMY,6125 BOSQUE BLVD,WACO,TX,76710,1,1,155,MCLENNAN,48309,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,129,2,17,26,2010
8195,A9300873,SOJOURN ACADEMY,27420 ROBINSON RD,CONROE,TX,77385,1,1,97,MONTGOMERY,48339,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,82,2,14,15,2010
8196,A0702286,FLINT ACADEMY,2111 ROOSEVELT DR,ARLINGTON,TX,76013,3,1,89,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,77,2,17,12,2010
8197,A0771786,KIDS PLACE CHILD DEVELOPMENT CENTER,901 SOUTHLAND AVE,FORT WORTH,TX,76104,7,1,10,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,8,2,3,2,2010
8199,A9300885,WINTERGARTEN CHRISTIAN SCHOOL,301 W UVALDE,CRYSTAL CITY,TX,78839,1,1,47,ZAVALA,48507,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,43,2,10,4,2010
8200,A0109345,CHRISTIAN ACADEMY OF SAN ANTONIO,325 CASTROVILLE RD,SAN ANTONIO,TX,78207,1,1,497,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,459,2,17,38,2010
8216,A0903580,PRIMROSE SCHOOL OF THE MID-CITIES,500 MID CITIES BLVD,HURST,TX,76054,6,1,20,TARRANT,48439,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,18,2,4,2,2012
8224,A0303153,TRINITY EPISCOPAL SCHOOL OF AUSTIN,3901 BEE CAVE RD,WEST LAKE HILLS,TX,78746,1,1,626,TRAVIS,48453,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,534,3,13,92,2012
8242,02060909,LONGVIEW CHRISTIAN ACADEMY,2200 W LOOP 281,LONGVIEW,TX,75604,1,1,87,GREGG,48183,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,79,3,17,8,2012
8295,BB162832,TAS MONTESSORI SCHOOL,4024 TASCA,LUBBOCK,TX,NOT AVAILABLE,2,1,30,LUBBOCK,48303,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,23,2,7,7,2018
