series,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
query1,7032,8892,7776,8652,10840,10824,9723,11107,11796,11300,13186,10509
query2,83543,80914,78330,74423,78627,74418,62105,68100,57923,61897,75169,81163
